AL, 4887871
AK, 737438
AZ, 7171646
AR, 3013825
CA, 39865590
CO, 5695564
CT, 3572665
DE, 967171
FL, 21299325
GA, 10519475
HI, 1420491
ID, 1754208
IL, 12741080
IN, 6691878
IA, 3156145
KS, 2911505
KY, 4468402
LA, 4659978
ME, 1338404
MD, 6042718
MA, 6902149
MI, 9995915
MN, 5611179
MS, 2986530
MO, 6126452
MT, 1062305
NE, 1929268
NV, 3034392
NH, 1356458
NJ, 8908520
NM, 2095428
NY, 19542209
NC, 10383620
ND, 760077
OH, 11689442
OK, 3943079
OR, 4190713
PA, 12807060
RI, 1057315
SC, 5084127
SD, 882235
TN, 6770010
TX, 25145561
UT, 2763885
VT, 625741
VA, 8001024
WA, 6724540
WV, 1852994
WI, 5686986
WY, 563626
